ISBN	登録番号	受入日	書名	書名かな	副書名	副書名かな	叢書名等	叢書名等かな	著者名	著者名かな	媒体種別	分類記号	図書記号	巻冊記号	出版社	版年	頁数	判型	本体価格	TRCMARCNO	内容紹介	件名	財源	受入先	価格	保管場所	別置記号	備考	付記事項	注記	除籍フラグ	除籍年月日	除籍番号	除籍理由	不明図書フラグ	不明日	不明理由	未点検回数	帯出禁止フラグ	バーコード印刷済フラグ	背ラベル印刷済フラグ	任意項目
9784-257034926	32227	1998/6/16	書く前に読もう超明解文学史　／Ｗ大學文芸科創作教室	ｶｸﾏｴﾆﾖﾓｳﾁｮｳﾒｲｶｲﾌﾞﾝｶﾞｸｼ/Wﾀﾞｲｶﾞｸﾌﾞﾝｹﾞｲｶｿｳｻｸｷｮｳｼﾂ					三田　誠広	ﾐﾀﾏｻﾋﾛ		910.2	ﾐﾀ		朝日ソノラマ	1997	277	20	1456						1456	西高100冊			１９９８．０６．１６		FALSE				FALSE				FALSE	TRUE	TRUE	
9784-893612588	32231	1998/6/22	アメリカの小学生はどう英語を覚えるか	ｱﾒﾘｶﾉｼｮｳｶﾞｸｾｲﾊﾄﾞｳｴｲｺﾞｦｵﾎﾞｴﾙｶ					メアリーベス・スーザ	ﾒｱﾘｰﾍﾞｽ･ｽｰｻﾞ		375.89	ｽ		はまの出版	1998	269	19	1500						1500	一般書架			１９９８．０６．２２		FALSE				FALSE				FALSE	TRUE	TRUE	
9784-093453318	32342	1998/7/7	くりやのくりごと : リンボウ先生家事を論ず	ｸﾘﾔ ﾉ ｸﾘｺﾞﾄ : ﾘﾝﾎﾞｳ ｾﾝｾｲ ｶｼﾞ ｵ ﾛﾝｽﾞ					林　望	ﾊﾔｼﾉｿﾞﾑ		914.6	ﾊﾔ		筑摩書房	1998	189	20	1300						1300	西高100冊			１９９８．０７．０７		FALSE				FALSE				FALSE	TRUE	TRUE	
9784-000800884	32350	1998/7/7	岩波＝ケンブリッジ　世界人名辞典	ｲﾜﾅﾐ=ｹﾝﾌﾞﾘｯｼﾞｾｶｲｼﾞﾝﾒｲｼﾞﾃﾝ			辞典		ディヴィッド・クリスタル．編／金子　雄司．他訳	ﾃﾞｨｳﾞｨｯﾄﾞ･ｸﾘｽﾀﾙ/.ﾍﾝ/ｶﾈｺﾕｳｼﾞ.ﾀﾔｸ		280.3	ｸ		岩波書店	1997	1459	23								一般書架			１９９８．０７．０７		FALSE				FALSE			1	FALSE	TRUE	TRUE	
9784-062093675	32547	1998/10/5	果つる底なき	ﾊﾂﾙ ｿｺ ﾅｷ					池井戸潤 著	ｲｹｲﾄﾞ ｼﾞｭﾝ 1963-		913.6	ｲｹ		講談社	1998	330p	20cm	1500	NDL					1500	一般書架				第44回江戸川乱歩賞受賞作､肖像あり	FALSE				FALSE				FALSE	FALSE	TRUE	
9784-566034075	32563	1998/10/12	算数・数学ランド　／おもしろ探検事典／疑問が解けて好きになれる	ｻﾝｽｳｽｳｶﾞｸﾗﾝﾄﾞ/ｵﾓｼﾛﾀﾝｹﾝｼﾞﾃﾝ/ｷﾞﾓﾝｶﾞﾄｹﾃｽｷﾆﾅﾚﾙ					仲田　紀夫	ﾅｶﾞﾀﾉﾘｵ		410	ﾅﾉ		評論社	1998	211	21	1800						1800	一般書架			１９９８．１０．１２		FALSE				FALSE				FALSE	TRUE	TRUE	
9784-532170554	32675	1998/11/17	刑事たちの夏	ｹｲｼﾞﾀﾁ ﾉ ﾅﾂ					久間十義 著	ﾋｻﾏ ｼﾞｭｳｷﾞ 1953-		913.6	ﾋｻ		日本経済新聞社	1998	421p	20cm	1800						1800	一般書架					FALSE				FALSE				FALSE	FALSE	TRUE	
9784-770023704	32824	1999/1/7	ホームズの名推理・ベスト５　［ルビ訳］	ﾎｰﾑｽﾞﾉﾒｲｽｲﾘﾍﾞｽﾄ5｢ﾙﾋﾞﾔｸ｣			Ｒｕｂｙ　Ｂｏｏｋｓ		コナン・ドイル	ｺﾅﾝ･ﾄﾞｲﾙ		837.7	ﾄﾞ		講談社インターナショナル	1998	201	19	1080						1080	一般書架			１９９９．０１．０７		FALSE				FALSE				FALSE	TRUE	TRUE	
9784-770023735	32939	1999/2/8	老人と海　［ルビ訳］	ﾛｳｼﾞﾝﾄｳﾐ｢ﾙﾋﾞﾔｸ｣			Ｒｕｂｙ　Ｂｏｏｋｓ		アーネスト・ヘミングウェイ	ｱｰﾈｽﾄ･ﾍﾐﾝｸﾞｳｪｲ		837.7	ﾍ		講談社インターナショナル	1998	116	19	950						950	一般書架			１９９９．０２．０８		FALSE				FALSE				FALSE	TRUE	TRUE	
9784-163548005	33052	1999/3/25	ぼくがすすめるがん治療	ﾎﾞｸｶﾞｽｽﾒﾙｶﾞﾝﾁﾘｮｳ					近藤　誠	ｺﾝﾄﾞｳﾏｺﾄ		498.14	ﾌｺ		文藝春秋	1999	284	20	1429						1429	一般書架			１９９９．０３．２５		FALSE				FALSE				FALSE	TRUE	TRUE	
9784-770021618	33081	1999/3/25	英語で話す「仏教」Ｑ＆Ａ　【対訳】	ｴｲｺﾞﾃﾞﾊﾅｽ｢ﾌﾞｯｷｮｳ｣Q&A｢ﾀｲﾔｸ｣			Bilingual Books		ジェームズ・Ｍ・バーダマン．訳　／高田　佳人	ｼﾞｪｰﾑｽﾞ･M･ﾊﾞｰﾀﾞﾏﾝ.ﾔｸ/ﾀｶﾀﾞﾖｼﾋﾄ.ﾔｸ		837.8	ﾀ		講談社インターナショナル	1997	230	19	1200						1200	一般書架			１９９９．０３．２５		FALSE				FALSE				FALSE	TRUE	TRUE	
9784-896913699	33140	1999/4/15	戦国合戦の常識が変わる本	ｾﾝｺﾞｸｶｯｾﾝﾉｼﾞｮｳｼｷｶﾞｶﾜﾙﾎﾝ					藤本　正行	ﾌｼﾞﾓﾄﾏｻﾕｷ		210.47	ﾌﾏ		洋泉社	1999	190	21	1700						1700	一般書架			１９９９．０４．１５		FALSE				FALSE				FALSE	TRUE	TRUE	
9784-095157016	33157	1999/4/19	朝鮮語辞典	ﾁｮｳｾﾝｺﾞｼﾞﾃﾝ			辞典		小学館／韓国・金星出版社	ｼｮｳｶﾞｯｶﾝ/ｶﾝｺｸ･ｷﾝｾｲｼｭｯﾊﾟﾝｼｬ		829.13	ｼ		小学館	1998	2065	19								一般書架			１９９９．０４．１９		FALSE				FALSE				FALSE	TRUE	TRUE	
9784-789009478	33173	1999/4/26	海外旅行の英会話　／快適マニュアル	ｶｲｶﾞｲﾘｮｺｳﾉｴｲｶｲﾜ/ｶｲﾃｷﾏﾆｭｱﾙ					石橋　眞知子	ｲｼﾊﾞｼﾏﾁｺ		837.8	ｲ		ジャパンタイムズ	1998	247	18	1200						1200	一般書架			１９９９．０４．２６		FALSE				FALSE				FALSE	TRUE	TRUE	
9784-562028634	33190	1999/5/7	世界犯罪百科全書	ｾｶｲﾊﾝｻﾞｲﾋｬｯｶｾﾞﾝｼｮ					オリヴァー・サイリャックス／柳下　毅一郎．訳	ｵﾘｳﾞｧｰ･ｻｲﾘｬｯｸｽ/ﾔﾅｷﾞｼﾀｷｲﾁﾛｳ.ﾔｸ		326.3	ｻ		原書房	1993	728	22	4660						4660	一般書架			１９９９．０５．０７		FALSE				FALSE				FALSE	TRUE	TRUE	
9784-140086957	33203	1999/5/11	驚異の小宇宙　／人体　Ｑ＆Ａ	ｷｮｳｲﾉｼｮｳｳﾁｭｳ/ｼﾞﾝﾀｲQ&A			ＮＨＫサイエンススペシャル		日本放送出版協会／ＮＨＫ取材班．編／多田　富雄．監修	ﾆﾎﾝ/NHKｼｭｻﾞｲﾊﾝ.ﾍﾝ/ﾀﾀﾞﾄﾐｵ.ｶﾝｼｭｳ		491.1	ｴ		日本放送出版協会	1990	236	19	1000						1000	一般書架			１９９９．０５．１１		FALSE				FALSE				FALSE	TRUE	TRUE	
9784-831508102	33301	1999/6/7	動物看護士・トリマーになるには	ﾄﾞｳﾌﾞﾂｶﾝｺﾞｼﾄﾘﾏｰﾆﾅﾙﾆﾊ			なるにはＢｏｏｋｓ　９０		井上　こみち	ｲﾉｳｴｺﾐﾁ		366.2	ﾅﾙ	90	ぺりかん社	1998	137	19	1270						1270	別置　キャリア教育			１９９９．０６．０７		FALSE				FALSE				FALSE	TRUE	TRUE	
9784-831508546	33302	1999/6/7	フードコーディネーターになるには	ﾌｰﾄﾞｺｰﾃﾞｨﾈｰﾀｰﾆﾅﾙﾆﾊ			なるにはＢｏｏｋｓ　９３		藤原　勝子	ﾌｼﾞﾜﾗｶﾂｺ		366.2	ﾅﾙ	93	ぺりかん社	1998	153	19	1170						1170	別置　キャリア教育			１９９９．０６．０７		FALSE				FALSE				FALSE	TRUE	TRUE	
9784-831506757	33303	1999/6/7	イベントプロデューサーになるには	ｲﾍﾞﾝﾄﾌﾟﾛﾃﾞｭｰｻｰﾆﾅﾙﾆﾊ			なるにはＢｏｏｋｓ　７８		とりはた　ともこ	ﾄﾘﾊﾀﾄﾓｺ		366.2	ﾅﾙ	78	ぺりかん社	1998	154	19	1170						1170	別置　キャリア教育			１９９９．０６．０７		FALSE				FALSE				FALSE	TRUE	TRUE	
9784-831506955	33304	1999/6/7	料理人になるには	ﾘｮｳﾘﾆﾝﾆﾅﾙﾆﾊ			なるにはBooks  14	ﾅﾙﾆﾜ Books	大阪あべの辻調理師専門学校．編	ｵｵｻｶｱﾍﾞﾉﾂｼﾞﾁｮｳﾘｼｾﾝﾓﾝｶﾞｯｺｳ.ﾍﾝ		366.2	ﾅﾙ	14	ぺりかん社	1996	166	19	1170						1170	一般書架			１９９９．０６．０７		FALSE				FALSE				FALSE	TRUE	TRUE	
9784-783728474	33371	1999/6/25	悲しみのゴンドラ	ｶﾅｼﾐﾉｺﾞﾝﾄﾞﾗ					Ｔ・トランストロンメル／エイコ・デューク．訳	T･ﾄﾗﾝｽﾄﾛﾝﾒﾙ/ｴｲｺ･ﾃﾞｭｰｸ.ﾔｸ		949.81	ﾄ		思潮社	1999	92	24	2400						2400	一般書架			１９９９．０６．２５		FALSE				FALSE			1	FALSE	TRUE	TRUE	
	33480	1999/7/17	天声人語 ９９春　［英文対照］	ﾃﾝｾｲｼﾞﾝｺﾞ 99 ﾊﾙ ｴｲﾌﾞﾝﾀｲｼｮｳ			第１１６集		朝日新聞論説委員室／朝日ｲﾌﾞﾆﾝｸﾞﾆｭｰｽ．訳	ｱｻﾋｼﾝﾌﾞﾝﾛﾝｾﾂｲｲﾝｼﾂ/ｱｻﾋｲﾌﾞﾆﾝｸﾞﾆｭｰｽ.ﾔｸ		837.5	ｱｻ	116	原書房	1999	217	21	1500						1500	一般書架			１９９９．０７．１７		FALSE				FALSE				FALSE	TRUE	TRUE	
	33743	1999/11/5	カラフル	ｶﾗﾌﾙ					森　絵都	ﾓﾘｴﾄ		913.6	ﾓﾘ		理論社	1999	275	19	1500						1500	一般書架			１９９９．１１．０５		FALSE				FALSE			1	FALSE	TRUE	TRUE	
9784-163554808	33744	1999/11/5	ほっこりぽくぽく上方さんぽ	ﾎｯｺﾘ ﾎﾟｸﾎﾟｸ ｶﾐｶﾞﾀ ｻﾝﾎﾟ					田辺聖子 著	ﾀﾅﾍﾞ ｾｲｺ 1928-2019		914.6	ﾀﾅ		文藝春秋	1999	401 4p	20cm	1857						1857	一般書架				文献あり	FALSE				FALSE				FALSE	FALSE	TRUE	
	33748	1999/11/5	ことわざ便利辞典　／キーワードからすぐ引ける	ｺﾄﾜｻﾞﾍﾞﾝﾘｼﾞﾃﾝｷｰﾜｰﾄﾞｶﾗｽｸﾞﾋｹﾙ/					丹野　顕	ﾀﾝﾉｱｷﾗ		388.8	ﾀ		日本実業出版社	1999	349	19	1500						1500	一般書架			１９９９．１１．０５		FALSE				FALSE			1	FALSE	TRUE	TRUE	
9784-022574145	33769	1996/11/16	どうするあなたなら　家族	ﾄﾞｳｽﾙｱﾅﾀﾅﾗｶｿﾞｸ					朝日新聞社会部	ｱｻﾋｼﾝﾌﾞﾝｼｬｶｲﾌﾞ		367.3	ｱｻ		朝日新聞社	1999	290	19	1200						1200	一般書架			１９９９．１１．１６		FALSE				FALSE				FALSE	TRUE	TRUE	
9784-048731638	33886	1999/12/20	巷説百物語	ｺｳｾﾂ ﾋｬｸ ﾓﾉｶﾞﾀﾘ					京極夏彦 著	ｷｮｳｺﾞｸ ﾅﾂﾋｺ 1963-		913.6	ｷﾖ		角川書店	1999	511p	20cm	1900		小豆洗い、白蔵主、舞首、芝右衛門狸、塩の長司、柳女、帷子辻				1900	一般書架					FALSE				FALSE				FALSE	FALSE	TRUE	
9784-831508768	33896	1999/12/22	ソムリエ・バーテンダーになるには	ｿﾑﾘｴﾊﾞｰﾃﾝﾀﾞｰﾆﾅﾙﾆﾊ			なるにはＢｏｏｋｓ　９５		大阪あべの辻調理師専門学校．編	ｵｵｻｶｱﾍﾞﾉﾂｼﾞﾁｮｳﾘｼｾﾝﾓﾝｶﾞｯｺｳ.ﾍﾝ		366.2	ﾅﾙ	95	ぺりかん社	1999	154	19	1170						1170	別置　キャリア教育			１９９９．１２．２２		FALSE				FALSE				FALSE	TRUE	TRUE	
9784-473020253	33951	2000/1/25	韓国骨董入門　／「李朝」をたずねる	ｶﾝｺｸｺｯﾄｳﾆｭｳﾓﾝ/｢ﾘﾁｮｳ｣ｦﾀｽﾞﾈﾙ			淡交ムック		上野　善弘／村山　武．監修／淡交社	ｳｴﾉﾖｼﾋﾛ/ﾑﾗﾔﾏﾀｹｼ.ｶﾝｼｭｳ/ﾀﾝｺｳｼｬ		709.21	ﾀ		中央公論社	1997	159	30	2500						2500	一般書架			２０００．０１．２５		FALSE				FALSE				FALSE	TRUE	TRUE	
9784-794964229	34015	2000/2/18	韓国のおばちゃんはえらい!	ｶﾝｺｸ ﾉ ｵﾊﾞﾁｬﾝ ﾜ ｴﾗｲ					渡邉真弓 著	ﾜﾀﾅﾍﾞ ﾏﾕﾐ 1962-		914.6	ﾜﾀ		晶文社	1999	227p	20cm	1800			大韓民国--社会			1800	一般書架					FALSE				FALSE				FALSE	FALSE	TRUE	
9784-939076206	34018	2000/2/22	英語で意見・考えを言える表現２４００	ｴｲｺﾞﾃﾞｲｹﾝｶﾝｶﾞｴｦｲｴﾙﾋｮｳｹﾞﾝ2400					星加　和美／石津　ジュディス	ﾎｼｶｶｽﾞﾐ/ｲｼﾂﾞｼﾞｭﾃﾞｨｽ		836	ﾎ		ベレ出版	1999	351	21	1800						1800	一般書架			２０００．０２．２２		FALSE				FALSE				FALSE	TRUE	TRUE	
9784-434000232	34019	2000/2/22	ひよこの脳みそ　／言葉の辞典	ﾋﾖｺﾉﾉｳﾐｿ/ｺﾄﾊﾞﾉｼﾞﾃﾝ					古嶋　美加	ﾌﾙｼﾏﾐｶ		810.4	ﾌ		朱鳥社	1999	115	19	850						850	一般書架			２０００．０２．２２		FALSE				FALSE				FALSE	TRUE	TRUE	
9784-569604831	34049	2000/3/3	操作されるイノチ・複製されるワタシ　／ＳＦみたい！な生命科学の話	ｿｳｻｻﾚﾙｲﾉﾁﾌｸｾｲｻﾚﾙﾜﾀｼ/SFﾐﾀｲ!ﾅｾｲﾒｲﾉｶｶﾞｸﾉﾊﾅｼ					高木　美也子	ﾀｶｷﾞﾐﾔｺ		467	ﾀﾐ		ＰＨＰ研究所	1999	220	20	1350						1350	一般書架			２０００．０３．０３		FALSE				FALSE				FALSE	TRUE	TRUE	
9784-022574718	34054	2000/3/6	金大中平和統一論	ｷﾑﾃｼﾞｭﾝﾍｲﾜﾄｳｲﾂﾛﾝ					金　大中アジア太平洋平和財団．著／波佐場　清．訳	ｷﾑﾃｼﾞｭﾝｱｼﾞｱﾀｲﾍｲﾖｳﾍｲﾜｻﾞｲﾀﾞﾝ.ﾁｮ/ﾊｻﾊﾞｷﾖｼ.ﾔｸ		221.07	ｷ		朝日新聞社	2000	244	20	1800						1800	一般書架			２０００．０３．０６		FALSE				FALSE				FALSE	TRUE	TRUE	
9784-163188201	34057	2000/3/6	長崎ぶらぶら節	ﾅｶﾞｻｷﾌﾞﾗﾌﾞﾗﾌﾞｼ					なかにし　礼	ﾅｶﾆｼﾚｲ		913.6	ﾅｶ		文藝春秋	2000	293	20	1524						1524	一般書架			２０００．０３．０６		FALSE				FALSE				FALSE	TRUE	TRUE	
9784-087744149	34063	2000/3/13	どすこい(仮)	ﾄﾞｽｺｲ ｶｯｺ ｶﾘ					京極夏彦 著	ｷｮｳｺﾞｸ ﾅﾂﾋｺ 1963-		913.6	ｷﾖ		集英社	2000	516p	20cm	1900						1900	一般書架					FALSE				FALSE				FALSE	FALSE	TRUE	
9784-104343010	34065	2000/3/13	ＬＯＶＥ論　／あなたのいいトコ探します	ｫｳﾞｪﾛﾝ/ｱﾅﾀﾉｲｲﾄｺｻｶﾞｼﾏｽ					つんく	ﾂﾝｸ		767.84	ﾂ		新潮社	2000	219	18	1000						1000	一般書架			２００２．１１．１８		FALSE				FALSE				FALSE	TRUE	TRUE	
9784-140804902	34080	2000/3/15	私のギリシャ神話	ﾜﾀｼﾉｷﾞﾘｼｬｼﾝﾜ					阿刀田　高	ｱﾄｳﾀﾞﾀｶｼ		164.31	ｱ		日本放送出版協会	2000	253	20	1400						1400	一般書架			２０００．０３．１５		FALSE				FALSE				FALSE	TRUE	TRUE	
9784-533019937	34082	2000/3/15	英会話　自遊自在　／日本を話す	ｴｲｶｲﾜｼﾞﾕｳｼﾞｻﾞｲ/ﾆﾎﾝｦﾊﾅｽ			ひとり歩きの会話集１４	ﾋﾄﾘｱﾙｷﾉｶｲﾜｼｭｳ14	ＪＴＢ出版事業局／るるぶ社	JTBｼｭｯﾊﾟﾝｼﾞｷﾞｮｳｷｮｸ/ﾙﾙﾌﾞｼｬ		837.8	ｼﾞ		ＪＴＢ	1998	319	17	1170						1170	一般書架			２０００．０３．１５		FALSE				FALSE				FALSE	TRUE	TRUE	
9784-087744446	34088	2000/3/17	働く女	ﾊﾀﾗｸ ｵﾝﾅ					群ようこ 著	ﾑﾚ ﾖｳｺ 1954-		913.6	ﾑﾚ		集英社	1999	226p	20cm	1200						1200	一般書架					FALSE				FALSE				FALSE	FALSE	TRUE	
	34113	2000/4/10	アジアのこころ	ｱｼﾞｱﾉｺｺﾛ			絵本		葉　祥明．文・絵	ﾖｳｼｮｳﾒｲ.ﾌﾞﾝ･ｴ		726.5	ﾖ		自由国民社	1999	44	31	1600						1600	一般書架			２０００．０４．１０		FALSE				FALSE				FALSE	TRUE	TRUE	
9784-039672209	34120	2000/4/11	お話のすむ家	ｵﾊﾅｼﾉｽﾑｲｴ			本の森２		ミンダルト・ヴィンストラ．作／バッブス・ヴィンストラ．絵／小林　たん子．訳	ﾐﾝﾀﾞﾙﾄ･ｳﾞｨﾝｽﾄﾗ/.ｻｸ/ﾊﾞｯﾌﾞｽ･ｳﾞｨﾝｽﾄﾗ.ｴ/ｺﾊﾞﾔｼﾀﾝｺ.ﾔｸ		949.3	ｳﾞ		偕成社	1996	102	22	1000						1000	一般書架			２０００．０４．１１		FALSE				FALSE				FALSE	TRUE	TRUE	
9784-652071656	34124	2000/4/11	犬のウィリーとその他おおぜい	ｲﾇ ﾉ ｳｨﾘｰ ﾄ ｿﾉﾀ ｵｵｾﾞｲ					ペネロピ・ライヴリー 作、神宮輝夫 訳	ﾍﾟﾈﾛﾋﾟ･ﾗｲｳﾞﾘｰ/ｼﾞﾝｸﾞｳ ﾃﾙｵ 1932-2021		933.7	ﾗｲ		理論社	1998	193p	19cm	1500						1500	一般書架				絵: ﾃﾞｨｳﾞｨｯﾄﾞ･ﾊﾟｰｷﾝｽ､原ﾀｲﾄﾙ: A house inside out	FALSE				FALSE				FALSE	FALSE	TRUE	
 	34144	2000/4/12	文学私記	ﾌﾞﾝｶﾞｸ ｼｷ					竹西寛子 著	ﾀｹﾆｼ ﾋﾛｺ 1929-		910.4	ﾀｹ		青土社	2000	221p	20cm	1800			日本文学			1800	一般書架					FALSE				FALSE				FALSE	FALSE	TRUE	
9784-560070536	34145	2000/4/12	ブロディーの報告書	ﾌﾞﾛﾃﾞｨｰ ﾉ ﾎｳｺｸｼｮ			白水Uブックス ; 53		ホルヘ・ルイス・ボルヘス [著]、鼓直 訳	ﾎﾙﾍ･ﾙｲｽ･ﾎﾞﾙﾍｽ/ﾂｽﾞﾐ ﾀﾀﾞｼ 1930-2019		963	ﾎﾞﾙ		白水社	1984	204p	18cm	680		じゃま者.卑劣な男.ロセンド・フアレスの物語.めぐり合いースサーナ・ボンバルに捧げる.フアン・ムラーニャ.老夫人.争いーフアン・オズバルド・ビビアーノに捧げる.別の争い.グアヤキル.マルコ福音書.ブロディーの報告書. 解説 鼓直著				680	新書書架					FALSE				FALSE				FALSE	FALSE	TRUE	
9784-062572859	34151	2002/4/12	意識は科学で解き明かせるか : 脳・意志・心に挑む物理学	ｲｼｷ ﾜ ｶｶﾞｸ ﾃﾞ ﾄｷｱｶｾﾙｶ : ﾉｳ ｲｼ ｺｺﾛ ﾆ ｲﾄﾞﾑ ﾌﾞﾂﾘｶﾞｸ			ブルーバックス	ﾌﾞﾙｰ ﾊﾞｯｸｽ	天外伺朗 茂木健一郎 著	ﾃﾝｹﾞ ｼﾛｳ 1942-､ﾓｷﾞ ｹﾝｲﾁﾛｳ 1962-		491.3	ﾃﾝ		講談社	2000	197 6p	18cm	820			脳、意識、量子力学			820	新書書架				文献あり	FALSE				FALSE				FALSE	FALSE	TRUE	
9784-047913400	34164	2000/4/17	マンハッタンの怪人	ﾏﾝﾊｯﾀﾝ ﾉ ｶｲｼﾞﾝ					フレデリック・フォーサイス 著、篠原慎 訳	ﾌﾚﾃﾞﾘｯｸ･ﾌｫｰｻｲｽ/ｼﾉﾊﾗ ﾏｺﾄ 1934-		933.7	ﾌｫ		角川書店	2000	249p	20cm	1500						1500	一般書架				原ﾀｲﾄﾙ: The phantom of Manhattan	FALSE				FALSE				FALSE	FALSE	TRUE	
	34166	2000/4/17	犬さんちの　猫あそび百珍	ｲﾇｻﾝﾁﾉﾈｺｱｿﾋﾞﾋｬｸﾁﾝ					犬童　光範	ｲﾇﾄﾞｳﾐﾂﾉﾘ		914.6	ｲ		第三文明社	2000	254	18	1300						1300	一般書架			２０００．０４．２１		FALSE				FALSE				FALSE	TRUE	TRUE	
9784-870313941	34170	2000/4/21	ティッピング・ポイント : いかにして「小さな変化」が「大きな変化」を生み出すか	ﾃｨｯﾋﾟﾝｸﾞ ﾎﾟｲﾝﾄ : ｲｶﾆｼﾃ ﾁｲｻﾅ ﾍﾝｶ ｶﾞ ｵｵｷﾅ ﾍﾝｶ ｵ ｳﾐﾀﾞｽｶ					マルコム・グラッドウェル 著、高橋啓 訳	ﾏﾙｺﾑ･ｸﾞﾗｯﾄﾞｳｪﾙ/ﾀｶﾊｼ ｹｲ 1953-		936	ｸﾞﾗ		飛鳥新社	2000	310p	20cm	1700			流行			1700	一般書架				原ﾀｲﾄﾙ: The tipping point	FALSE				FALSE				FALSE	FALSE	TRUE	
9784-582763225	34175	2000/4/28	捜神記	ｿｳｼﾞﾝｷ			平凡社ライブラリー	ﾍｲﾎﾞﾝｼｬﾗｲﾌﾞﾗﾘｰ	干　宝／竹田　晃．訳	ｶﾝﾎﾟｳ/ﾀｹﾀﾞｱｷﾗ.ﾔｸ		923.4	ｶﾝ		平凡社	2000	614	16	1600						1600	文庫書架			２０００．０４．２８		FALSE				FALSE				FALSE	TRUE	TRUE	
9784-846000790	34179	1994/6/3	中国「戯れ歌」ウォッチング	ﾁｭｳｺﾞｸ｢ﾀﾜﾑﾚｳﾀ｣ｳｫｯﾁﾝｸﾞ					南雲　智	ﾅｸﾞﾓｻﾄﾙ		222.077	ﾅｻ		ごま書房	1994	186	20	1800						1800	一般書架			１９９４．０６．０３		FALSE				FALSE				FALSE	TRUE	TRUE	
9784-806204008	34195	2000/5/12	器物語　--知っておきたい食器の話--	ｳﾂﾜﾓﾉｶﾞﾀﾘ--ｼｯﾃｵｷﾀｲｼｮｯｷﾉﾊﾅｼ--					ノリタケ食文化研究会．編	ﾉﾘﾀｹｼｮｸﾌﾞﾝｶｹﾝｷｭｳｶｲﾍﾝ.ﾍﾝ		596.9	ﾉ		中日新聞社	2000	142	22	2000						2000	一般書架					FALSE				FALSE				FALSE	TRUE	TRUE	
9784-591993224	34213	2000/5/16	調べ学習　ガイドブック　／なにをどこで調べるか	ｼﾗﾍﾞｶﾞｸｼｭｳｶﾞｲﾄﾞﾌﾞｯｸ/ﾅﾆｦﾄﾞｺﾃﾞｼﾗﾍﾞﾙｶ			図鑑		神林　照道．監修／尾崎　茂／阿部　純子／	ｶﾝﾊﾞﾔｼﾃﾙﾐﾁ.ｶﾝｼｭｳ/ｵｻﾞｷｼｹﾞﾙ/ｱﾍﾞｼﾞｭﾝｺ/		2	ｶﾃ		ポプラ社	2000	231	29	5800						5800	一般書架			２０００．０５．１６		FALSE				FALSE				FALSE	TRUE	TRUE	
9784-591059562	34216	2000/5/16	お金の大切さがわかる本　３／ものの値段はどうやって決まるの？　／流通のしくみ	ｵｶﾈﾉﾀｲｾﾂｻｶﾞﾜｶﾙﾎﾝ3/ﾓﾉﾉﾈﾀﾞﾝﾊﾄﾞｳﾔｯﾃｷﾏﾙﾉ?/ﾘｭｳﾂｳﾉｼｸﾐ			お金の大切さがわかる本　３		永井　進．編	ﾅｶﾞｲｽｽﾑ.ﾍﾝ		675	ﾅｽ		ポプラ社	1999	47	29	2800						2800	一般書架			２０００．０５．１６		FALSE				FALSE				FALSE	TRUE	TRUE	
9784-422211497	34242	2000/5/6	「星の王子さま」の誕生 : サン=テグジュペリとその生涯	ﾎｼ ﾉ ｵｳｼﾞｻﾏ ﾉ ﾀﾝｼﾞｮｳ : ｻﾝ = ﾃｸﾞｼﾞｭﾍﾟﾘ ﾄ ｿﾉ ｼｮｳｶﾞｲ			「知の再発見」双書 ; 89	ﾁ ﾉ ｻｲﾊｯｹﾝ ｿｳｼｮ	ナタリー・デ・ヴァリエール 著、山崎庸一郎 監修、南條郁子 訳	ﾅﾀﾘｰ･ﾃﾞ･ｳﾞｧﾘｴｰﾙ/ﾔﾏｻﾞｷ ﾖｳｲﾁﾛｳ 1929-2013､ﾅﾝｼﾞｮｳ ｲｸｺ 1954-		950.2	ﾃﾞｳﾞ		創元社	2000	158p	18cm	1400			Saint-Exupery  Antoine de  1900-1944			1400	一般書架				原ﾀｲﾄﾙ: Saint-Exupery､年譜あり	FALSE				FALSE				FALSE	FALSE	TRUE	
9784-039672506	34246	2000/5/26	オオカミウルフは名コック	ｵｵｶﾐ ｳﾙﾌ ﾜ ﾒｲｺｯｸ			本の森 ; 5	ﾎﾝ ﾉ ﾓﾘ	ジェニー・ニモ 作、デイヴィド・W.ミルウォード 絵、安藤紀子 訳	ｼﾞｪﾆｰ･ﾆﾓ/ﾃﾞｲｳﾞｨﾄﾞ･/ﾐﾙｳｫｰﾄﾞ/ｱﾝﾄﾞｳ ﾉﾘｺ 1943-		933.7	ﾆﾓ		偕成社	1998	63p	22cm	1000		北極圏のうす暗い森からおおかみのウルフが太陽の光とお嫁さんをもとめて密航のすえ、大きな都会へ辿り着いた。ウルフが大きなホテルのコックになる話。(日本図書館協会)、北極圏から人間社会に飛び込んだオオカミがまきおこす騒動と、コック長ウルフをとりまく人びとのやさしさをコミカルに綴る絵物語。(日本児童図書出版協会)				1000	一般書架				原ﾀｲﾄﾙ: Wilfred's wolf	FALSE				FALSE				FALSE	FALSE	TRUE	
