d1	d2	d3	d4	d5	d6
イビデン７０年史	イビデン株式会社社史編集室．編	イビデン株式会社, 		 ｲ   	ISBN:  RGTN: 10265 受入日: 19830331
廣漢和辞典　上	諸橋　轍次／鎌田　正／米山　寅太郎．共著	大修館書店, 	辞典	813.2 ﾓﾃ 上 一般書架	ISBN:  RGTN: 10294 受入日: 19830331
廣漢和辞典　中	諸橋　轍次／鎌田　正／米山　寅太郎．共著	大修館書店, 	辞典	813.2 ﾓﾃ 中 一般書架	ISBN:  RGTN: 10295 受入日: 19830331
廣漢和辞典　下	諸橋　轍次／鎌田　正／米山　寅太郎．共著	大修館書店, 	辞典	813.2 ﾓﾃ 下 一般書架	ISBN:  RGTN: 10296 受入日: 19830331
新英和中辞典	研究社	研究社, 	辞典	833 ｹ 1 	ISBN:  RGTN: 11157 受入日: 19830619
崑崙山への昇仙　--古代中国人が描いた死後の世界--	曽布川　寛	中央公論社, 	中公新書６３５	186.7 ｿ  箱詰め	ISBN:  RGTN: 11646 受入日: 19831126
山伏　--入峰・修行・呪法--	和歌森　太郎	中央公論社, 	中公新書４８	188.59 ﾜ  箱詰め	ISBN:  RGTN: 11756 受入日: 19831224
禅思想　--その原型をあらう--	柳田　聖山	中央公論社, 	中公新書４００	188.8 ﾔ  箱詰め	ISBN:  RGTN: 11993 受入日: 19831228
北の国から　前編	倉本　聰	理論社, 		912.7 ｸ 1 一般書架	ISBN:  RGTN: 12337 受入日: 19840205
経済学大辞典　\x87T	編集委員	東洋経済新報社, 		330.3 ﾄ 1 一般書架	ISBN:  RGTN: 12436 受入日: 19840222
経済学大辞典　\x87U	編集委員	東洋経済新報社, 		330.3 ﾄ 2 一般書架	ISBN:  RGTN: 12437 受入日: 19840222
角川日本地名大辞典　２１　／岐阜県	編纂委員会	角川書店, 	地名辞典	291.03 ｶ 21 一般書架	ISBN:  RGTN: 12439 受入日: 19840222
講座　日本近代文学史　１	小田切　秀雄．編	大月書店, 		910.26 ｵ 1 箱詰め	ISBN:  RGTN: 13119 受入日: 19840726
講座　日本近代文学史　２	小田切　秀雄．編	大月書店, 		910.26 ｵ 2 箱詰め	ISBN:  RGTN: 13120 受入日: 19840726
講座　日本近代文学史　３	小田切　秀雄．編	大月書店, 		910.26 ｵ 3 箱詰め	ISBN:  RGTN: 13121 受入日: 19840726
講座　日本近代文学史　４	小田切　秀雄．編	大月書店, 		910.26 ｵ 4 箱詰め	ISBN:  RGTN: 13122 受入日: 19840726
講座　日本近代文学史　５	小田切　秀雄．編	大月書店, 		910.26 ｵ 5 箱詰め	ISBN:  RGTN: 13123 受入日: 19840726
超人間　／肉体と精神を改造する科学／	Ｒ・エッチンガー／久保　智洋．訳	光文社, 	カッパブックス	469 ｴ  箱詰め	ISBN:  RGTN: 13169 受入日: 19840726
三光　--日本人の中国における戦争犯罪の告白--	神吉　晴夫	光文社, 	ｶｯﾊﾟﾌﾞｯｸｽ	329.67 ｶ  箱詰め	ISBN:  RGTN: 13203 受入日: 19840726
みみずく説法	今　東光	光文社, 	カッパ・ブックス	184 ｺ  箱詰め	ISBN:  RGTN: 13228 受入日: 19840726
歎異抄入門　--この乱世を生き抜くための知恵	本多　顕彰	光文社, 	カッパ・ブックス	188.7 ﾎ  箱詰め	ISBN:  RGTN: 13349 受入日: 19840727
３分間スピーチ　／一人一人の心に、強烈な感動を・・・・／	諸星　龍	光文社, 	カッパブックス	809.4 ﾓ  箱詰め	ISBN:  RGTN: 13383 受入日: 19840727
黄色い部屋　／スガモ・プリズンの通訳医者／	吉浦　亀雄	光文社, 	カッパブックス	326.52 ﾖ  箱詰め	ISBN:  RGTN: 13403 受入日: 19840727
岐阜県百科事典　上	岐阜県百科事典制作委員会	岐阜日日新聞社, 	事典	291.53 ｷﾞ 上 一般書架	ISBN:  RGTN: 13507 受入日: 19840828
岐阜県百科事典　下	岐阜県百科事典制作委員会	岐阜日日新聞社, 	事典	291.53 ｷﾞ 下 一般書架	ISBN:  RGTN: 13508 受入日: 19840828
太宰治全集　９	太宰　治	筑摩書房, 	全集	918.6 ﾀﾞｻﾞ 9 一般書架	ISBN:  RGTN: 14145 受入日: 19850318
時事年鑑　昭和五十八年	時事通信社	時事通信社出版局, 	年鑑	059 ｼﾞ 1983 箱詰め	ISBN:  RGTN: 14165 受入日: 19890929
時事年鑑　昭和五十九年	時事通信社	時事通信社出版局, 	年鑑	059 ｼﾞ 1984 箱詰め	ISBN:  RGTN: 14166 受入日: 19890929
原色日本両生爬虫類図鑑	中村　健児／上野　俊一	保育社, 	図鑑	487.8 ﾎ  	ISBN: 9784-586300303 RGTN: 14393 受入日: 19850506
九つの空	團　伊玖磨	朝日新聞社, 	朝日文庫	916 ﾀﾞｲ  文庫書架	ISBN:  RGTN: 14536 受入日: 19850710
新法律学辞典　【新版】	我妻　栄	有斐閣, 		321 ﾜｻ  一般書架	ISBN: 9784-641000025 RGTN: 14651 受入日: 19850727
日本社会運動人名辞典	塩田　庄兵衛	青木書店, 	辞典	309.02 ｼｼ  一般書架	ISBN: 9784-250790034 RGTN: 14652 受入日: 19850727
チャナディのサッカー　【新版】	アルパド・チャナディ／宮川　毅．訳	ベースボール・マガジン社, 		783.47 ﾁ  	ISBN: 9784-583024066 RGTN: 14696 受入日: 19850727
西洋音楽散歩	柴田　南雄	青土社, 		762.3 ｼﾐ  	ISBN:  RGTN: 14754 受入日: 19850803
現代ヨーロッパの言語	田中　克彦／Ｈ．ハールマン	岩波書店, 	岩波新書Ｙ２９２	800 ﾀ     新書書架	ISBN:  RGTN: 14851 受入日: 19850808
新明解漢和辞典　【第二版】	長澤　規矩也．編	三省堂, 	辞典	813.2 ﾅｷ  一般書架	ISBN:  RGTN: 14954 受入日: 19850809
新明解漢和辞典	長澤　規矩也．編	三省堂, 	辞典	813.2 ﾅｷ  一般書架	ISBN:  RGTN: 14955 受入日: 19850809
教育小六法　／昭和６１年版	兼子　仁．編	学陽書房, 	法律書	373.2 ｶﾋ  一般書架	ISBN: 9784-313011618 RGTN: 15081 受入日: 19850814
大学でなにを学ぶか	隅谷　三喜男	岩波書店, 	岩波ジュニア新書３８	377 ｽ  新書書架	ISBN:  RGTN: 15238 受入日: 19851016
和泉式部日記	和泉式部／清水　文雄．校注	岩波書店, 	岩波文庫	911.34 ｼ  文庫書架	ISBN:  RGTN: 15590 受入日: 19860305
アダムとイヴの日記	マーク・トウェイン／大久保　博．訳	旺文社, 	旺文社文庫	933 ﾄ  文庫書架	ISBN: 9784-010621936 RGTN: 15695 受入日: 19860723
雨月物語 : 現代語訳対照	[上田秋成著] ; 大輪靖宏訳注	岩波書店, 	旺文社文庫	913.5 ｳｴ  西高100冊	ISBN: 9784-010640715 RGTN: 15754 受入日: 19860723
兎の眼	灰谷　健次郎	理論社, 		913.6 ﾊｲ  西高100冊	ISBN: 9784-652071014 RGTN: 15803 受入日: 19860723
細雪　上巻	谷崎　潤一郎	旺文社, 	旺文社文庫	913.6 ﾀﾆ 上 文庫書架	ISBN: 9784-010611012 RGTN: 15839 受入日: 19860723
細雪　中巻	谷崎　潤一郎	旺文社, 	旺文社文庫	913.6 ﾀﾆ 中 文庫書架	ISBN: 9784-010611029 RGTN: 15840 受入日: 19860723
細雪　下巻	谷崎　潤一郎	旺文社, 	旺文社文庫	913.6 ﾀﾆ 下 文庫書架	ISBN: 9784-010611036 RGTN: 15841 受入日: 19860723
ギリシア・ローマの神話　／人間に似た神さまたち／	吉田　敦彦	筑摩書房, 	世界の神話３	164 ﾖ 3 一般書架	ISBN:  RGTN: 15889 受入日: 19860723
追われ行くカモシカたち	浜　昇	筑摩書房, 	ちくま少年図書館　３５	489.85 ﾊﾉ 35 一般書架	ISBN:  RGTN: 15900 受入日: 19860723
中国古典選　２０　／史記〈三〉	田中　謙二／一海　知義	朝日新聞社, 	朝日文庫	928 ｱ 20 文庫書架	ISBN:  RGTN: 16209 受入日: 19870331
人間とは何か	マーク・トウェイン．著／中野　好夫．訳	岩波書店, 	岩波文庫	934.6 ﾄｳ  文庫書架	ISBN:  RGTN: 16303 受入日: 19870721
世界科学者事典　１／生物学者	Ｄ・アボット／中村　禎里．訳	原書房, 		403 ｱ 1 一般書架	ISBN: 9784-562016099 RGTN: 16365 受入日: 19870721
世界科学者事典　２／化学者	Ｄ・アボット／竹内　敬人．訳	原書房, 		403 ｱ 2 一般書架	ISBN: 9784-562016105 RGTN: 16366 受入日: 19870721
世界科学者事典　３／天文学者	Ｄ・アボット／小尾　信彌．訳	原書房, 		403 ｱ 3 一般書架	ISBN: 9784-562016112 RGTN: 16367 受入日: 19870721
世界科学者事典　４／物理学者	Ｄ・アボット／渡辺　正雄．訳	原書房, 		403 ｱ 4 一般書架	ISBN: 9784-562016129 RGTN: 16368 受入日: 19870721
ルソー選集　７　／社会契約論／政治経済論／	ルソー／作田　啓一／阪上　孝．訳／	白水社, 	選集	135.3 ﾙｿ  西高100冊	ISBN: 9784-560022719 RGTN: 16616 受入日: 19870731
みずうみ　／他４編	シュトルム／関　泰祐．訳	岩波書店, 	岩波文庫	943 ｼ  文庫書架	ISBN:  RGTN: 16732 受入日: 19870731
世界科学者事典　５／数学者	Ｄ・アボット／齋藤　正彦．訳	原書房, 		403 ｱ 5 一般書架	ISBN: 9784-562016136 RGTN: 17364 受入日: 19880512
世界科学者事典　６／技術者	Ｄ・アボット／坂本　賢三．訳	原書房, 		403 ｱ 6 一般書架	ISBN: 9784-562016143 RGTN: 17365 受入日: 19880512
世界科学者事典　別巻／総索引	Ｄ・アボット／伊東　俊太郎．監修	原書房, 		403 ｱ 別 一般書架	ISBN: 9784-562016150 RGTN: 17366 受入日: 19880512
ヒロシマという名の街で	小笠　邦久	蝸牛社, 		913.6 ｵｶ  一般書架	ISBN: 9784-905579953 RGTN: 17480 受入日: 19880601
料理人の休日	辻　静雄	新潮社, 	新潮文庫	913.6 ﾂｼﾞ  文庫書架	ISBN: 9784-101275086 RGTN: 17797 受入日: 19880723
高血圧の正しい知識		南江堂, 		498.81 ﾌｼ11  一般書架	ISBN: 9784-524244263 RGTN: 17842 受入日: 19880723
航空　／飛行機のあゆみ	小学館	小学館, 	小学館の学習百科図鑑　１２	538 ｼ 12 事典棚	ISBN: 9784-092170124 RGTN: 18000 受入日: 19890105
藤村文明論集	島崎　藤村／十川　信介．編	岩波書店, 	岩波文庫	914.6 ｼﾄ  文庫書架	ISBN: 9784-003102466 RGTN: 18199 受入日: 19890217
大辞林	松村　明	三省堂, 	辞典	813.1 ﾏｱ  一般書架	ISBN:  RGTN: 18251 受入日: 19890315
きけ　わだつみのこえ【第２集】　／日本戦没学生の手記／	日本戦没学生記念会．編	岩波書店, 	岩波文庫	916 ﾆﾎ  西高100冊	ISBN: 9784-003315729 RGTN: 18422 受入日: 19890324
レトリック感覚　／ことばは新しい視点をひらく	佐藤　信夫	講談社, 		801 ｻ  一般書架	ISBN: 9784-061237421 RGTN: 18442 受入日: 19890324
Ｑ＆Ａ　経済常識１００問１００問　【８９年版】	日本経済新聞社．編	日本経済新聞社, 		330 ﾆ  	ISBN: 9784-532088538 RGTN: 18591 受入日: 19890515
慣用　ことわざ辞典	尚学図書	小学館, 	辞典	388.8 ｼ  一般書架	ISBN:  RGTN: 19263 受入日: 19890707
ああ無情　／少年少女世界文学館１７	ビクトル・ユーゴー／塚原　亮一．訳	講談社, 	少年少女世界文学館１７	908 ｺ 17 一般書架	ISBN: 9784-061943179 RGTN: 19438 受入日: 19890901
国際労働経済統計年鑑　【特製版】	国際労働事務局	日本ＩＬＯ協会, 		366.05 ｺ 1964 一般書架	ISBN:  RGTN: 19647 受入日: 19670401
沈黙	遠藤　周作	新潮社, 	新潮文庫	913.6 ｴﾝ  西高100冊	ISBN: 9784-101123158 RGTN: 19741 受入日: 19891026
ふざけるな！　校則　--負けるな！全国の中学・高校生へ！　パート１--	はやし　たけし	駒草出版, 		376.4 ﾊ  	ISBN:  RGTN: 19929 受入日: 19900208
道草	夏目　漱石	岩波書店, 	岩波文庫	913.6 ﾅｿ  文庫書架	ISBN: 9784-003101131 RGTN: 20363 受入日: 19900425
古典落語　〈大尾〉	興津　要．編	講談社, 	講談社文庫	913.7 ｵｶ 4 文庫書架	ISBN:  RGTN: 20470 受入日: 19900510
日本の絵巻７／餓鬼草紙／地獄草紙／病草紙／九相詩絵巻	中央公論社／小松　茂美．編	中央公論社, 	画集〈日本の絵巻〉	721.2 ﾁ 7 一般書架	ISBN: 9784-124026573 RGTN: 20679 受入日: 19900703
水府	津島　佑子	河出書房新社, 	河出文庫	913.6 ﾂｼ  文庫書架	ISBN: 9784-309402789 RGTN: 20926 受入日: 19900926
ギャラリー　１９９０	ギャラリーシルバー企画	ギャラリーシルバー企画, 		703.8 ｷﾞ 1990  	ISBN:  RGTN: 20938 受入日: 19900928
ギャラリー　１９８９	ギャラリーシルバー企画	ギャラリーシルバー企画, 		703.8 ｷﾞ 1989 図書室	ISBN:  RGTN: 20939 受入日: 19900928
キリスト教とイスラム教　／どう違うか５０のＱ＆Ａ／	ひろ　さちや	新潮社, 	新潮選書	190 ﾋ  一般書架	ISBN: 9784-106003516 RGTN: 21144 受入日: 19901129
黄昏記	真野　さよ	岩波書店, 	同時代ライブラリー　５３	913.6 ﾏﾉ  文庫書架	ISBN: 9784-002600536 RGTN: 21258 受入日: 19910108
気分はだぼだぼソース	椎名　誠	情報センター出版局, 		914.6 ｼﾏ  	ISBN: 9784-795800120 RGTN: 21350 受入日: 19910125
古事記／日本書紀　／新潮古典文学アルバム　１	神野志　隆光／大庭　みな子	新潮社, 	新潮古典文学アルバム　１	910.8 ｼ 1 一般書架	ISBN: 9784-106207013 RGTN: 21585 受入日: 19910219
花言葉物語　／贈る花に想いをこめて／	永岡書店	永岡書店, 	フォト＆ストーリー	627 ﾅ  新書書架	ISBN: 9784-522011904 RGTN: 21682 受入日: 19910312
アメリカ黒人の歴史　【新版】	本田　創造	岩波書店, 	岩波新書Ｒ１６５	316.8 ﾎ  新書書架	ISBN:  RGTN: 21724 受入日: 19910408
生と死のウィーン　--世紀末を生きる都市--	ロート　美恵	講談社, 	講談社現代新書１０４５	234.6 ﾛ-  新書書架	ISBN: 9784-061490451 RGTN: 21911 受入日: 19910509
一太郎“マル秘”文章テクニック　／あなたもちょっとした本づくりを！	涌井　良幸／涌井　貞美．共著	誠文堂新光社, 		548.2 ﾜﾖ  一般書架	ISBN: 9784-416191064 RGTN: 22109 受入日: 19910607
ブックレットのぶっくれっと	岩波書店編集部．編	岩波書店, 	岩波ブックレット　Ｎｏ．２０１	023.1 ｲﾜ  ブックレット	ISBN: 9784-000031417 RGTN: 22262 受入日: 19910621
三国志 1	吉川英治著	講談社, 	吉川英治歴史時代文庫33	913.6 ﾖｼ 1 西高100冊	ISBN: 9784-061965331 RGTN: 22284 受入日: 19910625
SELDOM-ILLEGAL　--時には、違法--	坂本　龍一	角川書店, 		914.6 ｻｶ  一般書架	ISBN: 9784-048832458 RGTN: 22310 受入日: 19910627
家庭でつくるこだわり食品　３　--芋・コンニャク・山菜・きのこ・木の実・薬草--	佐竹　秀雄／矢住　ハツノ・山田　安子／岩城　由子．共著	農文協, 		588 ｻ 3 一般書架	ISBN:  RGTN: 22386 受入日: 19910704
園児と心で握手　--「言葉かけ」うまい例へたな例--	清水　エミ子	学陽書房, 		376.1 ｼ  	ISBN: 9784-313650435 RGTN: 22588 受入日: 19910913
旺文社・漢和辞典　【重版】	赤塚　忠．他編	旺文社, 	辞典	813.2 ｵ  一般書架	ISBN: 9784-010775226 RGTN: 23025 受入日: 19911129
オカルト	坂下　昇	講談社, 	講談社現代新書８３２	147 ｻ  新書書架	ISBN:  RGTN: 23093 受入日: 19911213
田辺聖子の小倉百人一首	田辺　聖子	角川書店, 	角川文庫	911.147 ﾀ  文庫書架	ISBN: 9784-041314241 RGTN: 23110 受入日: 19911218
ドストエフスキー全集　６	ドストエフスキー／小沼　文彦．訳	筑摩書房, 	全集	988 ﾄﾞ 6 	ISBN: 9784-480771063 RGTN: 23350 受入日: 19920109
酒呑童子異聞	佐竹　昭広	岩波書店, 	同時代ライブラリー１０２	913.4 ｻﾀ  文庫書架	ISBN: 9784-002601021 RGTN: 23691 受入日: 19920408
父の居場所	諸井薫 著	中央公論社, 		914.6 ﾓﾛ  一般書架	ISBN: 9784-120021107 RGTN: 23758 受入日: 19920415
続　パイプのけむり	團　伊玖磨	朝日新聞社, 	朝日文庫	914.6 ﾀﾞｲ 2 文庫書架	ISBN:  RGTN: 23858 受入日: 19920506
続々　パイプのけむり	團　伊玖磨	朝日新聞社, 	朝日文庫	914.6 ﾀﾞｲ 3 文庫書架	ISBN:  RGTN: 23859 受入日: 19920506
又　パイプのけむり	團　伊玖磨	朝日新聞社, 	朝日文庫	914.6 ﾀﾞｲ 4 文庫書架	ISBN: 9784-022600240 RGTN: 23860 受入日: 19920506
淋しいおさかな : 別役実童話集	別役　実	三一書房, 		913.8 ﾍﾞﾂ  西高100冊	ISBN:  RGTN: 23866 受入日: 19920506
現代の金融　〈上〉／現代金融の制度と理論	谷田　庄三／野田　正穂／久留間　健．編	大月書店, 		338 ﾀｼ 上 一般書架	ISBN: 9784-272110735 RGTN: 23947 受入日: 19920515
バイプのけむり	團　伊玖磨	朝日新聞社, 	朝日文庫	914.6 ﾀﾞ  文庫書架	ISBN: 9784-022600219 RGTN: 23953 受入日: 19920515
少年	ビートたけし／北野　武	新潮社, 	新潮文庫	913.6 ｷ  文庫書架	ISBN: 9784-101225111 RGTN: 24086 受入日: 19920601
式と方程式　／数学が生まれる物語　３	志賀　浩二	岩波書店, 		410 ｼｺ 3 一般書架	ISBN: 9784-001152739 RGTN: 24123 受入日: 19920608
羅生門／鼻	芥川　竜之介	新潮社, 	新潮文庫	913.6 ｱ  文庫書架	ISBN: 9784-101025018 RGTN: 24295 受入日: 19920616
西洋音楽史　１　／ルネサンスの音楽／	フリードリヒ・ブルーメ／和田　旦／佐藤　巌．訳	白水社, 	白水μブックス	762 ﾌﾞ  新書書架	ISBN: 9784-560073223 RGTN: 24325 受入日: 19920623
体験的憲法裁判史	新井章 著	岩波書店, 	同時代ライブラリー ; 117	327 ｱﾗ  文庫書架	ISBN: 9784-002601175 RGTN: 24557 受入日: 19920902
西洋音楽史　２　／バロックの音楽／	フリードリヒ・ブルーメ／和田　旦／佐藤　巌．訳	白水社, 	白水μブックス	762 ﾌﾞ  新書書架	ISBN: 9784-560073223 RGTN: 24566 受入日: 19920902
地球環境の事典	宇井　純／根本　順吉／山田　國廣	三省堂, 		519 ｳｼ  一般書架	ISBN: 9784-385153575 RGTN: 24584 受入日: 19920911
リスボアを見た女	阿刀田高 著	白水社, 		913.6 ｱﾄ  一般書架	ISBN: 9784-560045626 RGTN: 24686 受入日: 19921005
続・名言の内側　／色褪せぬ先人の知恵／	木村　尚三郎／外山　滋比古／村上　吉廣	日本経済新聞社, 		159.8 ｷ  一般書架	ISBN: 9784-532160692 RGTN: 25001 受入日: 19921208
ジム・ボタンの機関車大旅行	ミヒャエル・エンデ／上田　真而子．訳	岩波書店, 	岩波世界児童文学集２３	908 ｲ 23 一般書架	ISBN: 9784-001157239 RGTN: 25593 受入日: 19940617
ロボット工作のはなし	佐伯　平二	技報堂出版, 		548.3 ｻﾍ  一般書架	ISBN: 9784-765543965 RGTN: 25757 受入日: 19930527
インダストリアルデザイナーになるには	石川　弘	ぺりかん社, 	なるにはＢｏｏｋｓ  69	366.2 ﾅﾙ 69 一般書架	ISBN: 9784-831505859 RGTN: 25785 受入日: 19930527
太宰治全集　９　／斜陽／人間失格／クッド・バイ／	太宰　治	筑摩書房, 	文庫版全集	918.68 ﾀﾞ 9 	ISBN: 9784-480022592 RGTN: 26325 受入日: 19931116
憲法入門	樋口　陽一	勁草書房, 		323.14 ﾋﾖ  	ISBN:  RGTN: 26396 受入日: 19931125
愛と変身の　ギリシア神話	吉田　敦彦	同文書院, 	面白ブックス１８	164.31 ﾖ  	ISBN: 9784-810371222 RGTN: 26468 受入日: 19931201
教養のためのドイツ語	下宮　忠雄	大修館書店, 		840 ｼ  一般書架	ISBN: 9784-469211672 RGTN: 26491 受入日: 19931216
ミステリー殺しのテクニック	殺人トリック研究会．編	三一書房, 	三一新書	901.3 ｻ  新書書架	ISBN: 9784-380930164 RGTN: 26612 受入日: 19940124
色彩心理学入門　--ニュートンとゲーテの流れを追って--	大山　正	中央公論社, 	中公新書１１６９	141.2 ｵｵ  新書書架	ISBN: 9784-121011695 RGTN: 26723 受入日: 19940209
日本女性人名辞典	芳賀　登／一番ヶ瀬　康子．他	日本図書センター, 	辞典	281.03 ﾊﾉ  一般書架	ISBN: 9784-820571285 RGTN: 26733 受入日: 19940215
ロシア国籍日本人の記録 : シベリア抑留からソ連邦崩壊まで	川越史郎 著	中央公論社, 	中公新書	289.1 ｶﾜ  新書書架	ISBN: 9784-121011732 RGTN: 26805 受入日: 19940307
月山抄	森　敦	河出書房新社, 		914.6 ﾓﾘ  一般書架	ISBN: 9784-309003924 RGTN: 26816 受入日: 19940307
爆笑三國志　２	シブサワ　コウ．編	光栄, 		923 ｼｺ 2 一般書架	ISBN: 9784-906300617 RGTN: 27104 受入日: 19940516
みそっかす	幸田　文	岩波書店, 	岩波文庫	913.6 ｺｳ  文庫書架	ISBN: 9784-003110416 RGTN: 27181 受入日: 19940608
自然保護レンジャーになるには	自然保護レンジャー研究会．編	ぺりかん社, 	なるにはＢｏｏｋｓ　７３	366.2 ﾅﾙ 73 別置　キャリア教育	ISBN: 9784-831506337 RGTN: 27196 受入日: 19940613
少年アリス　／三月うさぎのお茶会へ行く	長野　まゆみ	河出書房新社, 		913.6 ﾅｶﾞ  一般書架	ISBN: 9784-309007410 RGTN: 27228 受入日: 19940622
解ければ天才！ 算数１００の難問・奇問　４　／究極の算数がここにある／	中村　義作	講談社, 	BLUE BACKS Ｂ-１０１６	410 ﾅ  新書書架	ISBN: 9784-062570169 RGTN: 27246 受入日: 19940628
エミシとは何か　／古代東アジアと北方日本　／日本文化の起源を北に探る	中西　進	角川書店, 	角川選書　２４７	210.3 ﾅｽ  一般書架	ISBN: 9784-311201165 RGTN: 27311 受入日: 19940704
三国志故事物語	駒田　信二	河出書房新社, 		222 ｺﾏ  西高100冊	ISBN: 9784-309222479 RGTN: 27338 受入日: 19940704
イラスト面白四字熟語	ゴリングループ．編	島出版, 		813.4 ｺﾞ  一般書架	ISBN: 9784-915053214 RGTN: 27795 受入日: 19941222
爆笑クイズ三国志	シブサワ・コウ 光栄出版部 企画編集	光栄, 	歴史人物笑史	222 ｼﾌﾞ  一般書架	ISBN: 9784-906300655 RGTN: 27910 受入日: 19950131
夢野久作全集　９　／ドグラ・マグラ／	夢野　久作	筑摩書房, 	文庫版全集	918.6 ﾕﾒ 9 一般書架	ISBN: 9784-480026798 RGTN: 28030 受入日: 19950221
天気の好い日は小説を書こう　／Ｗ大学文芸科創作教室	三田　誠広	朝日ソノラマ, 		901.3 ﾐﾀ  西高100冊	ISBN: 9784-257034056 RGTN: 28060 受入日: 19950302
チャップリン	江藤　文夫	岩波書店, 	岩波ジュニア新書２５０	778 ｴﾄ  新書書架	ISBN: 9784-005002504 RGTN: 28075 受入日: 19950308
話せる英語術	上田　明子	岩波書店, 	同時代ライブラリー	830.7 ｳｴ  文庫書架	ISBN: 9784-002602196 RGTN: 28181 受入日: 19940413
ネコの亡命	椎名　誠	文藝春秋, 		914.6 ｼﾏ  	ISBN: 9784-163500508 RGTN: 28226 受入日: 19950419
キャベツの丸かじり	東海林　さだお	朝日新聞社, 		914.6 ｼｻ  	ISBN: 9784-022559548 RGTN: 28318 受入日: 19950529
災害救援	野田正彰 著	岩波書店, 	岩波新書	369.3 ﾉﾀﾞ  新書書架	ISBN: 9784-004304012 RGTN: 28678 受入日: 19950906
オオカミと７ひきの子ヤギ　／カエルの王子	堀口　俊一．編	朋友出版, 	英文テキスト	837.7 ﾎ 7 一般書架	ISBN: 9784-832491076 RGTN: 28779 受入日: 19951018
兵士に聞け	杉山　隆男	新潮社, 		392.1 ｽﾀ  一般書架	ISBN: 9784-104062010 RGTN: 28844 受入日: 19951027
砂時計の七不思議　／粉粒体の動力学／	田口　善弘	中央公論社, 	中公新書１２６８	428 ﾀ  新書書架	ISBN: 9784-121012685 RGTN: 28903 受入日: 19951110
芥川龍之介	関口　安義	岩波書店, 	岩波新書Ｒ４１４	910.2 ｾｷ  新書書架	ISBN: 9784-004304142 RGTN: 28913 受入日: 19951110
グッチョ先生の森の学校　なんでこんな生物がいるの	盛口　満	日本経済新聞社, 		480.4 ﾓ  一般書架	ISBN: 9784-532520434 RGTN: 29044 受入日: 19951204
ハーネス・光と愛の絆	大澤　美實	ディーエイチシー, 		369.27 ｵﾖ  一般書架	ISBN: 9784-887240674 RGTN: 29139 受入日: 19960122
源吉じいさんとキツネ	なるみや　ますみ．作／狩野　ふきこ．絵	ひくまの出版, 	絵本	726.5 ﾅ  一般書架	ISBN:  RGTN: 29163 受入日: 19960122
転換期の国際政治	武者小路公秀 著	岩波書店, 	岩波新書	319 ﾑｼ  新書書架	ISBN: 9784-004304340 RGTN: 29394 受入日: 19960312
世界のマイノリティ事典	マイノリティ・ライツ・グループ．編／マイノリティ事典翻訳委員会．訳	明石書店, 	事典	316.83 ﾏ  一般書架	ISBN: 9784-750307718 RGTN: 29516 受入日: 19960418
岐阜県の地名　／日本歴史地名大系２１巻	平凡社	平凡社, 		215.3 ﾍ 21 一般書架	ISBN: 9784-582490213 RGTN: 29766 受入日: 19960618
世界民族問題事典	梅棹　忠夫．監修／松原　正毅／ＮＩＲＡ	平凡社, 	事典	316.83 ｳﾀ  一般書架	ISBN: 9784-582132014 RGTN: 29855 受入日: 19960709
新美南吉童話集	新美南吉 [著] ; 千葉俊二編	岩波書店, 	岩波文庫	913.8 ﾆｲ  西高100冊	ISBN: 9784-003115015 RGTN: 29880 受入日: 19960820
自殺直前日記　山田花子（漫画家・故人）	山田　花子	太田出版, 		145.7 ﾔ  	ISBN:  RGTN: 29977 受入日: 19960902
日本妖怪異聞録	小松　和彦	小学館, 		289.3 ｶ  一般書架	ISBN: 9784-092073029 RGTN: 29992 受入日: 19960904
紙の中の戦争	開高　健	岩波書店, 	同時代ライブラリー　２７８	914.6 ｶｲ  文庫書架	ISBN: 9784-002602783 RGTN: 30069 受入日: 19960920
とりたい!!　医療事務	大栄出版編集部	大栄出版, 	ﾗｲｾﾝｽ･ﾗｲﾌﾞﾗﾘｰ２５	366 ﾀﾞ 25 	ISBN: 9784-886822406 RGTN: 30089 受入日: 19960927
数の話題事典	上野　富美夫．編	東京堂出版, 		412 ｳﾌ  一般書架	ISBN: 9784-490103809 RGTN: 30152 受入日: 19961011
数学オリンピック　１９９１～１９９６	数学オリンピック財団．編	日本評論社, 		410 ｽ  一般書架	ISBN: 9784-535782334 RGTN: 30191 受入日: 19961016
夜と霧　／ドイツ強制収容所の体験記録	Ｖ・Ｅ・フランクル／霜山　徳爾．訳	みすず書房, 		319.8 ﾌ  学研小論文	ISBN: 9784-622006015 RGTN: 30229 受入日: 19961030
人文系の小論文	河合塾小論文科	河合出版, 	学習参考書	816 ｶ  一般書架	ISBN:  RGTN: 30254 受入日: 19961108
世界の本１７　ドイツ・ベルリン１２０ﾊﾟｰｾﾝﾄガイド	エトセトラ出版部	日地出版, 	ひとりで行ける世界の本120ﾊﾟｰｾﾝﾄガイド	290.9 ﾋ 17 一般書架	ISBN:  RGTN: 30335 受入日: 19961115
世界の本２０　フランス・パリ１２０ﾊﾟｰｾﾝﾄガイド	エトセトラ出版部	日地出版, 	ひとりで行ける世界の本120ﾊﾟｰｾﾝﾄガイド	290.9 ﾋ 20 一般書架	ISBN: 9784-527005205 RGTN: 30336 受入日: 19961115
